,Team,Payroll,year,salary_cap,portion,Tm
0,Portland,87395140.0,2000,35500000,2.46,POR
1,New York,74007738.0,2000,35500000,2.08,NYK
2,Miami,73472329.0,2000,35500000,2.07,MIA
3,Brooklyn,68977578.0,2000,35500000,1.94,BRK
4,Washington,59085969.0,2000,35500000,1.66,WAS
5,LA Lakers,58968213.0,2000,35500000,1.66,LAL
6,Milwaukee,57819318.0,2000,35500000,1.63,MIL
7,San Antonio,57215938.0,2000,35500000,1.61,SAS
8,Indiana,55086140.0,2000,35500000,1.55,IND
9,Phoenix,53906347.0,2000,35500000,1.52,PHO
10,Utah,53893860.0,2000,35500000,1.52,UTA
11,Dallas,52274842.0,2000,35500000,1.47,DAL
12,Denver,52189220.0,2000,35500000,1.47,DEN
13,Oklahoma City,51538658.0,2000,35500000,1.45,OKC
14,Boston,51478707.0,2000,35500000,1.45,BOS
15,Philadelphia,51085458.0,2000,35500000,1.44,PHI
16,Cleveland,49780549.0,2000,35500000,1.4,CLE
17,Houston,49283309.0,2000,35500000,1.39,HOU
18,Memphis,48899840.0,2000,35500000,1.38,MEM
19,Minnesota,47488500.0,2000,35500000,1.34,MIN
20,Charlotte,46441558.0,2000,35500000,1.31,CHH
21,Sacramento,46266289.0,2000,35500000,1.3,SAC
22,Golden State,42363018.0,2000,35500000,1.19,GSW
23,Detroit,40475338.0,2000,35500000,1.14,DET
24,Atlanta,39297129.0,2000,35500000,1.11,ATL
25,Toronto,38313749.0,2000,35500000,1.08,TOR
26,Orlando,37459860.0,2000,35500000,1.06,ORL
27,Chicago,29691907.0,2000,35500000,0.84,CHI
28,LA Clippers,29606189.0,2000,35500000,0.83,LAC
29,New Orleans,,2000,35500000,,NOH
30,New York,85993039.0,2001,42500000,2.02,NYK
31,Portland,84292850.0,2001,42500000,1.98,POR
32,Brooklyn,75193712.0,2001,42500000,1.77,BRK
33,Philadelphia,58073366.0,2001,42500000,1.37,PHI
34,Dallas,57960080.0,2001,42500000,1.36,DAL
35,Phoenix,56596369.0,2001,42500000,1.33,PHO
36,Milwaukee,56224266.0,2001,42500000,1.32,MIL
37,Minnesota,55093782.0,2001,42500000,1.3,MIN
38,Sacramento,54921012.0,2001,42500000,1.29,SAC
39,Washington,54776087.0,2001,42500000,1.29,WAS
40,Denver,54460475.0,2001,42500000,1.28,DEN
41,LA Lakers,54262017.0,2001,42500000,1.28,LAL
42,Indiana,53398621.0,2001,42500000,1.26,IND
43,Miami,53351186.0,2001,42500000,1.26,MIA
44,Toronto,52657161.0,2001,42500000,1.24,TOR
45,Utah,52642362.0,2001,42500000,1.24,UTA
46,Atlanta,51525207.0,2001,42500000,1.21,ATL
47,Memphis,50920631.0,2001,42500000,1.2,MEM
48,Charlotte,49999445.0,2001,42500000,1.18,CHH
49,Houston,49168169.0,2001,42500000,1.16,HOU
50,Golden State,47681152.0,2001,42500000,1.12,GSW
51,Boston,47515677.0,2001,42500000,1.12,BOS
52,Orlando,45984001.0,2001,42500000,1.08,ORL
53,San Antonio,45844814.0,2001,42500000,1.08,SAS
54,Cleveland,45649974.0,2001,42500000,1.07,CLE
55,Oklahoma City,45556733.0,2001,42500000,1.07,OKC
56,Chicago,42592857.0,2001,42500000,1.0,CHI
57,Detroit,42417677.0,2001,42500000,1.0,DET
58,LA Clippers,33849932.0,2001,42500000,0.8,LAC
59,New Orleans,,2001,42500000,,NOH
60,Portland,105595657.0,2002,40271000,2.62,POR
61,New York,93452379.0,2002,40271000,2.32,NYK
62,Dallas,72940316.0,2002,40271000,1.81,DAL
63,Sacramento,70416596.0,2002,40271000,1.75,SAC
64,Philadelphia,64822487.0,2002,40271000,1.61,PHI
65,LA Lakers,63151182.0,2002,40271000,1.57,LAL
66,Memphis,61009172.0,2002,40271000,1.51,MEM
67,Brooklyn,60412919.0,2002,40271000,1.5,BRK
68,Minnesota,59518801.0,2002,40271000,1.48,MIN
69,Milwaukee,57995152.0,2002,40271000,1.44,MIL
70,Miami,57378326.0,2002,40271000,1.42,MIA
71,Atlanta,55711549.0,2002,40271000,1.38,ATL
72,Toronto,55408207.0,2002,40271000,1.38,TOR
73,Phoenix,55225080.0,2002,40271000,1.37,PHO
74,Indiana,53472323.0,2002,40271000,1.33,IND
75,San Antonio,53182559.0,2002,40271000,1.32,SAS
76,Oklahoma City,53167479.0,2002,40271000,1.32,OKC
77,Boston,52548195.0,2002,40271000,1.3,BOS
78,Utah,50934629.0,2002,40271000,1.26,UTA
79,Orlando,50435346.0,2002,40271000,1.25,ORL
80,Houston,50181239.0,2002,40271000,1.25,HOU
81,Cleveland,49610448.0,2002,40271000,1.23,CLE
82,Denver,49109209.0,2002,40271000,1.22,DEN
83,Detroit,47777888.0,2002,40271000,1.19,DET
84,Golden State,47737715.0,2002,40271000,1.19,GSW
85,Washington,46691190.0,2002,40271000,1.16,WAS
86,Chicago,44531095.0,2002,40271000,1.11,CHI
87,New Orleans,44458882.0,2002,40271000,1.1,NOH
88,LA Clippers,42955777.0,2002,40271000,1.07,LAC
89,Charlotte,,2002,40271000,,CHH
90,New York,89444820.0,2003,43840000,2.04,NYK
91,Portland,82956768.0,2003,43840000,1.89,POR
92,Dallas,79536723.0,2003,43840000,1.81,DAL
93,Minnesota,71272042.0,2003,43840000,1.63,MIN
94,Sacramento,68372826.0,2003,43840000,1.56,SAC
95,Phoenix,66931770.0,2003,43840000,1.53,PHO
96,Atlanta,64497340.0,2003,43840000,1.47,ATL
97,LA Lakers,64123085.0,2003,43840000,1.46,LAL
98,Brooklyn,63697123.0,2003,43840000,1.45,BRK
99,Toronto,63033243.0,2003,43840000,1.44,TOR
100,Philadelphia,60411079.0,2003,43840000,1.38,PHI
101,Boston,60185915.0,2003,43840000,1.37,BOS
102,Indiana,58156236.0,2003,43840000,1.33,IND
103,Memphis,57378323.0,2003,43840000,1.31,MEM
104,Chicago,55489797.0,2003,43840000,1.27,CHI
105,Houston,55401430.0,2003,43840000,1.26,HOU
106,Detroit,53442834.0,2003,43840000,1.22,DET
107,Golden State,53376708.0,2003,43840000,1.22,GSW
108,Milwaukee,53229826.0,2003,43840000,1.21,MIL
109,Oklahoma City,52347476.0,2003,43840000,1.19,OKC
110,Orlando,50588419.0,2003,43840000,1.15,ORL
111,New Orleans,49800204.0,2003,43840000,1.14,NOH
112,Miami,47349374.0,2003,43840000,1.08,MIA
113,San Antonio,46464064.0,2003,43840000,1.06,SAS
114,Cleveland,46186472.0,2003,43840000,1.05,CLE
115,Washington,45682902.0,2003,43840000,1.04,WAS
116,Denver,39398646.0,2003,43840000,0.9,DEN
117,LA Clippers,39114363.0,2003,43840000,0.89,LAC
118,Utah,34747674.0,2003,43840000,0.79,UTA
119,Charlotte,,2003,43840000,,CHH
120,New York,102567539.0,2004,43870000,2.34,NYK
121,Dallas,91908443.0,2004,43870000,2.1,DAL
122,Portland,83671309.0,2004,43870000,1.91,POR
123,Philadelphia,71951878.0,2004,43870000,1.64,PHI
124,Minnesota,70123411.0,2004,43870000,1.6,MIN
125,Memphis,67010830.0,2004,43870000,1.53,MEM
126,Orlando,66445249.0,2004,43870000,1.51,ORL
127,Indiana,66064780.0,2004,43870000,1.51,IND
128,LA Lakers,65059098.0,2004,43870000,1.48,LAL
129,Boston,64577356.0,2004,43870000,1.47,BOS
130,Sacramento,61807688.0,2004,43870000,1.41,SAC
131,Toronto,61703775.0,2004,43870000,1.41,TOR
132,Houston,60284303.0,2004,43870000,1.37,HOU
133,Miami,59523529.0,2004,43870000,1.36,MIA
134,Milwaukee,57448246.0,2004,43870000,1.31,MIL
135,Chicago,57276129.0,2004,43870000,1.31,CHI
136,New Orleans,56572882.0,2004,43870000,1.29,NOH
137,Brooklyn,54983980.0,2004,43870000,1.25,BRK
138,Golden State,54943723.0,2004,43870000,1.25,GSW
139,Detroit,54762481.0,2004,43870000,1.25,DET
140,Oklahoma City,53821301.0,2004,43870000,1.23,OKC
141,Washington,49797050.0,2004,43870000,1.14,WAS
142,Cleveland,49175274.0,2004,43870000,1.12,CLE
143,San Antonio,47504123.0,2004,43870000,1.08,SAS
144,Denver,46101759.0,2004,43870000,1.05,DEN
145,LA Clippers,45483265.0,2004,43870000,1.04,LAC
146,Phoenix,44598682.0,2004,43870000,1.02,PHO
147,Utah,43515760.0,2004,43870000,0.99,UTA
148,Atlanta,41059616.0,2004,43870000,0.94,ATL
149,Charlotte,23922578.0,2004,43870000,0.55,CHH
150,New York,126631098.0,2005,49500000,2.56,NYK
151,Dallas,98454832.0,2005,49500000,1.99,DAL
152,Philadelphia,84807300.0,2005,49500000,1.71,PHI
153,Indiana,78791779.0,2005,49500000,1.59,IND
154,Orlando,75784782.0,2005,49500000,1.53,ORL
155,LA Lakers,72917945.0,2005,49500000,1.47,LAL
156,Houston,69257404.0,2005,49500000,1.4,HOU
157,Memphis,67525538.0,2005,49500000,1.36,MEM
158,Brooklyn,66449350.0,2005,49500000,1.34,BRK
159,San Antonio,63570274.0,2005,49500000,1.28,SAS
160,Milwaukee,63022514.0,2005,49500000,1.27,MIL
161,Sacramento,62811975.0,2005,49500000,1.27,SAC
162,Toronto,62411884.0,2005,49500000,1.26,TOR
163,Minnesota,61830186.0,2005,49500000,1.25,MIN
164,Miami,60732452.0,2005,49500000,1.23,MIA
165,Portland,60017964.0,2005,49500000,1.21,POR
166,Detroit,59619275.0,2005,49500000,1.2,DET
167,Utah,57372902.0,2005,49500000,1.16,UTA
168,Chicago,57166530.0,2005,49500000,1.15,CHI
169,Golden State,57114566.0,2005,49500000,1.15,GSW
170,Boston,56907300.0,2005,49500000,1.15,BOS
171,Denver,56492172.0,2005,49500000,1.14,DEN
172,Washington,54555947.0,2005,49500000,1.1,WAS
173,Phoenix,53626924.0,2005,49500000,1.08,PHO
174,LA Clippers,51358645.0,2005,49500000,1.04,LAC
175,Cleveland,51303962.0,2005,49500000,1.04,CLE
176,Oklahoma City,49253379.0,2005,49500000,1.0,OKC
177,Atlanta,42944553.0,2005,49500000,0.87,ATL
178,New Orleans,41277617.0,2005,49500000,0.83,NOH
179,Charlotte,33458932.0,2005,49500000,0.68,CHH
180,New York,117350866.0,2006,53135000,2.21,NYK
181,Dallas,88531846.0,2006,53135000,1.67,DAL
182,LA Lakers,77099949.0,2006,53135000,1.45,LAL
183,Portland,75026386.0,2006,53135000,1.41,POR
184,Philadelphia,69140163.0,2006,53135000,1.3,PHI
185,Minnesota,66820673.0,2006,53135000,1.26,MIN
186,Phoenix,65841120.0,2006,53135000,1.24,PHO
187,San Antonio,65654320.0,2006,53135000,1.24,SAS
188,Denver,65517776.0,2006,53135000,1.23,DEN
189,Golden State,65012368.0,2006,53135000,1.22,GSW
190,Brooklyn,64486110.0,2006,53135000,1.21,BRK
191,Miami,64416312.0,2006,53135000,1.21,MIA
192,Sacramento,64296611.0,2006,53135000,1.21,SAC
193,Houston,63837566.0,2006,53135000,1.2,HOU
194,Milwaukee,63498518.0,2006,53135000,1.2,MIL
195,Indiana,63118965.0,2006,53135000,1.19,IND
196,Cleveland,62992729.0,2006,53135000,1.19,CLE
197,Boston,62981479.0,2006,53135000,1.19,BOS
198,Washington,62733705.0,2006,53135000,1.18,WAS
199,Utah,62364364.0,2006,53135000,1.17,UTA
200,Memphis,61960489.0,2006,53135000,1.17,MEM
201,Orlando,61447108.0,2006,53135000,1.16,ORL
202,LA Clippers,59181038.0,2006,53135000,1.11,LAC
203,Detroit,59010951.0,2006,53135000,1.11,DET
204,Oklahoma City,56986831.0,2006,53135000,1.07,OKC
205,Chicago,54754904.0,2006,53135000,1.03,CHI
206,New Orleans,53748991.0,2006,53135000,1.01,NOH
207,Toronto,51015491.0,2006,53135000,0.96,TOR
208,Atlanta,48581972.0,2006,53135000,0.91,ATL
209,Charlotte,41964046.0,2006,53135000,0.79,CHH
210,Dallas,101694879.0,2007,55630000,1.83,DAL
211,New York,96190114.0,2007,55630000,1.73,NYK
212,Denver,82958227.0,2007,55630000,1.49,DEN
213,Cleveland,82217583.0,2007,55630000,1.48,CLE
214,Miami,74767603.0,2007,55630000,1.34,MIA
215,Boston,74509455.0,2007,55630000,1.34,BOS
216,Philadelphia,74038229.0,2007,55630000,1.33,PHI
217,Portland,73241335.0,2007,55630000,1.32,POR
218,LA Lakers,72626796.0,2007,55630000,1.31,LAL
219,Phoenix,71323049.0,2007,55630000,1.28,PHO
220,San Antonio,70048523.0,2007,55630000,1.26,SAS
221,Houston,69894114.0,2007,55630000,1.26,HOU
222,Minnesota,69043895.0,2007,55630000,1.24,MIN
223,Indiana,66260246.0,2007,55630000,1.19,IND
224,Toronto,66042375.0,2007,55630000,1.19,TOR
225,Detroit,65898875.0,2007,55630000,1.18,DET
226,Washington,65278996.0,2007,55630000,1.17,WAS
227,Utah,64959089.0,2007,55630000,1.17,UTA
228,LA Clippers,64847945.0,2007,55630000,1.17,LAC
229,Sacramento,63403225.0,2007,55630000,1.14,SAC
230,Chicago,63084166.0,2007,55630000,1.13,CHI
231,New Orleans,62609991.0,2007,55630000,1.13,NOH
232,Milwaukee,62571522.0,2007,55630000,1.12,MIL
233,Golden State,62148303.0,2007,55630000,1.12,GSW
234,Brooklyn,61836211.0,2007,55630000,1.11,BRK
235,Oklahoma City,60861388.0,2007,55630000,1.09,OKC
236,Orlando,58165973.0,2007,55630000,1.05,ORL
237,Atlanta,55501133.0,2007,55630000,1.0,ATL
238,Memphis,54118526.0,2007,55630000,0.97,MEM
239,Charlotte,53745468.0,2007,55630000,0.97,CHH
240,New York,96643646.0,2008,58680000,1.65,NYK
241,Dallas,95045559.0,2008,58680000,1.62,DAL
242,Cleveland,91298233.0,2008,58680000,1.56,CLE
243,Portland,80260059.0,2008,58680000,1.37,POR
244,Boston,79188973.0,2008,58680000,1.35,BOS
245,LA Lakers,78245793.0,2008,58680000,1.33,LAL
246,Phoenix,76130408.0,2008,58680000,1.3,PHO
247,Toronto,73446970.0,2008,58680000,1.25,TOR
248,Houston,73302272.0,2008,58680000,1.25,HOU
249,Detroit,71434174.0,2008,58680000,1.22,DET
250,Milwaukee,71360656.0,2008,58680000,1.22,MIL
251,Washington,70743317.0,2008,58680000,1.21,WAS
252,Miami,70297059.0,2008,58680000,1.2,MIA
253,Denver,70121003.0,2008,58680000,1.19,DEN
254,Orlando,69672979.0,2008,58680000,1.19,ORL
255,Indiana,69668818.0,2008,58680000,1.19,IND
256,Sacramento,69204512.0,2008,58680000,1.18,SAC
257,Oklahoma City,68341605.0,2008,58680000,1.16,OKC
258,Philadelphia,68301007.0,2008,58680000,1.16,PHI
259,Atlanta,68168841.0,2008,58680000,1.16,ATL
260,Chicago,68126774.0,2008,58680000,1.16,CHI
261,San Antonio,68020487.0,2008,58680000,1.16,SAS
262,New Orleans,67530808.0,2008,58680000,1.15,NOH
263,Golden State,67416431.0,2008,58680000,1.15,GSW
264,Minnesota,66445144.0,2008,58680000,1.13,MIN
265,Utah,65841407.0,2008,58680000,1.12,UTA
266,Charlotte,62866926.0,2008,58680000,1.07,CHH
267,LA Clippers,62764206.0,2008,58680000,1.07,LAC
268,Brooklyn,62666523.0,2008,58680000,1.07,BRK
269,Memphis,55958148.0,2008,58680000,0.95,MEM
270,LA Lakers,91378064.0,2009,57700000,1.58,LAL
271,Dallas,88916075.0,2009,57700000,1.54,DAL
272,New York,85710076.0,2009,57700000,1.49,NYK
273,Boston,83552174.0,2009,57700000,1.45,BOS
274,Cleveland,83398534.0,2009,57700000,1.45,CLE
275,Orlando,82200916.0,2009,57700000,1.42,ORL
276,San Antonio,79338309.0,2009,57700000,1.38,SAS
277,Denver,74935538.0,2009,57700000,1.3,DEN
278,Miami,74208013.0,2009,57700000,1.29,MIA
279,Washington,73440274.0,2009,57700000,1.27,WAS
280,Utah,71905244.0,2009,57700000,1.25,UTA
281,New Orleans,70163827.0,2009,57700000,1.22,NOH
282,Chicago,69700359.0,2009,57700000,1.21,CHI
283,Houston,69095315.0,2009,57700000,1.2,HOU
284,Charlotte,68681758.0,2009,57700000,1.19,CHH
285,Toronto,67822433.0,2009,57700000,1.18,TOR
286,Sacramento,67515718.0,2009,57700000,1.17,SAC
